system_id,system_public_name,site_location,timezone_or_utc_offset,latitude,longitude,elevation_m,dc_capacity_kW,kg_climate,pvcz_composite,pvcz_t_rack,pvcz_t_roof,pvcz_humidity,pvcz_wind,tracking,type,azimuth,tilt,first_timestamp,last_timestamp,years,number_records,dataset_size_mb,available_sensor_channels,qa_status,qa_issue,,,,,
1272,Residential - NOLA -29 - District B,"New Orleans, LA",America/Chicago,29.951,-90.0812,10,9.46,Cfa,44,4,7,4,4,fixed,roof,175,30,12/21/2011 15:55,9/12/2015 18:45,3.7287,1551484,35.51,4,fail,,,,,,
1273,Residential - NOLA -30 - District A South,"New Orleans, LA",America/Chicago,29.9288,-90.1273,10,5.16,Cfa,44,4,7,4,4,fixed,roof,225,30,12/5/2011 12:51,9/12/2015 18:45,3.7726,1580460,36.17,4,fail,,,,,,
1274,Residential - NOLA -31 - District A North,"New Orleans, LA",America/Chicago,30.0017,-90.0926,10,5.76,Cfa,44,4,7,4,4,fixed,roof,180,15,12/14/2011 10:17,4/26/2014 13:35,2.3671,888031,20.33,4,fail,,,,,,
1275,Commercial - NOLA,"New Orleans, LA",America/Chicago,29.9649,-90.069,10,25.6,Cfa,44,4,7,4,4,fixed,roof,135,30,4/28/2010 11:45,5/14/2013 4:00,3.0465,277635,6.35,3,fail,,,,,,
1276,Andre Agassi Preparatory Academy - Building B,"Las Vegas, NV",America/Los_Angeles,36.1952,-115.1582,620,68.48,Bwh,26,6,8,2,2,fixed,roof,180,5,8/30/2011 23:00,7/26/2020 16:00,8.9123,4574570,104.7,15,pass,"temp mean outside boundaries, Percent clipping exceeded threshold of 10%, Filtered time series less than 1.0 years data",,,,,
1277,Andre Agassi Preparatory Academy - Building C,"Las Vegas, NV",America/Los_Angeles,36.1952,-115.1582,620,40.56,Bwh,26,6,8,2,2,fixed,roof,180,10,8/30/2011 23:00,7/26/2020 16:00,8.9123,4515699,103.36,15,pass,"Percent clipping exceeded threshold of 10%, Filtered time series less than 1.0 years data, temp mean outside boundaries",,,,,
1278,Andre Agassi Preparatory Academy - Building D,"Las Vegas, NV",America/Los_Angeles,36.1952,-115.1582,620,171.36,Bwh,26,6,8,2,2,fixed,roof,180,,8/30/2011 23:00,7/26/2020 16:00,8.9123,7830647,179.23,26,pass,"Percent clipping exceeded threshold of 10%, temp mean outside boundaries, Filtered time series less than 1.0 years data",,,,,
1283,NREL Research Support Facility II,"Golden, CO",7,39.7409,-105.1711,1800,408.24,BSk,12,2,4,1,3,fixed,roof,165,10,2/19/1997 3:15,5/7/2024 14:45,27.2301,361900991,8283.26,25,pass,"Percent clipping exceeded threshold of 10%, Filtered time series less than 1.0 years data",,,,,
1284,NREL CIGS-11,Golden CO,7,39.7405,-105.1774,1793.7,1.2,Dfb,12,2,4,1,3,fixed,ground,180,40,2/19/1997 6:15,3/16/2015 11:09,18.0794,25303811,579.16,18,fail,,,,,,
1289,NREL CIGS-12,Golden CO,7,39.7405,-105.1774,1793.7,1.82,Dfb,12,2,4,1,3,fixed,ground,180,40,9/27/2012 10:33,5/19/2020 0:49,7.6465,65712147,1504.03,18,pass,Filtered time series less than 1.0 years data,,,,,
1294,St. Petersburg Parks CDP - Coquina Key Park RB,"St Petersburg, FL",America/New_York,27.7374,-82.6311,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/11/2011 9:27,6/18/2016 19:45,5.4383,898324,20.56,5,fail,,,,,,
1295,St. Petersburg Parks CDP - Crisp Park RB,"St Petersburg, FL",America/New_York,27.805,-82.627,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/22/2013 9:00,7/6/2016 7:15,3.4547,770871,17.64,5,fail,,,,,,
1296,St. Petersburg Parks CDP - Dell Holmes Park RB,"St Petersburg, FL",America/New_York,27.7427,-82.663,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/30/2013 7:10,12/3/2014 4:50,1.841,581899,13.32,5,fail,,,,,,
1297,[1297] St. Petersburg Parks CDP - Demens Landing Park RB,"St Petersburg, FL",America/New_York,27.7701,-82.629,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,5/13/2013 20:00,6/12/2014 8:00,1.0821,246032,5.63,4,fail,,,,,,
1298,[1298] St. Petersburg Parks CDP - Azalea Park MB,"St Petersburg, FL",America/New_York,27.7863,-82.7379,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,9/9/2007 20:00,8/4/2018 16:15,10.9095,1971404,45.12,5,fail,,,,,,
1299,[1299] St. Petersburg Parks CDP - Crescent Lake Park MB,"St Petersburg, FL",America/New_York,27.7883,-82.6414,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,2/11/2013 12:25,7/7/2017 13:15,4.4027,1376020,31.49,5,fail,,,,,,
1300,[1300] St. Petersburg Parks CDP - Demens Landing Park MB,"St Petersburg, FL",America/New_York,27.7701,-82.629,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,2/13/2013 22:30,8/4/2018 16:15,5.4739,2907979,66.56,12,fail,,,,,,
1301,[1301] St. Petersburg Parks CDP - Lake Vista Park MB,"Golden, CO",America/New_York,27.714,-82.6525,5,,BSk,45,5,8,4,4,fixed,unknown,-1,,1/4/2013 7:45,8/4/2018 16:15,5.5835,757808,17.34,5,fail,,,,,,
1302,[1302] St. Petersburg Parks CDP - Mirror Lake Park MB,"Golden, CO",America/New_York,27.7743,-82.6423,5,,BSk,45,5,8,4,4,fixed,unknown,-1,,1/21/2013 4:50,8/4/2018 16:15,5.5369,1892256,43.31,5,fail,,,,,,
1303,[1303] St. Petersburg Parks CDP - Walter Fuller Park MB,"St Petersburg, FL",America/New_York,27.7955,-82.7476,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/31/2013 10:15,8/31/2016 17:35,3.5835,1283182,29.37,5,fail,,,,,,
1304,[1304] St. Petersburg Parks CDP - Wildwood Park MB,"St Petersburg, FL",America/New_York,27.7589,-82.67,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,2/18/2013 8:00,8/16/2016 16:15,3.4931,489396,11.2,4,fail,,,,,,
1305,[1305] St. Petersburg Parks CDP - Azalea Park Rec Center,"St Petersburg, FL",America/New_York,27.7863,-82.7379,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/24/2013 3:30,9/3/2015 9:45,2.6082,2787751,63.81,26,fail,,,,,,
1306,[1306] St. Petersburg Parks CDP - Campbell Park Rec Center,"St Petersburg, FL",America/New_York,27.7643,-82.6497,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,2/24/2013 2:30,4/7/2014 9:45,1.115,2398769,54.9,37,fail,,,,,,
1307,[1307] St. Petersburg Parks CDP - J.W. Cate Rec Center,"Golden, CO",America/New_York,27.7936,-82.7144,5,,BSk,45,5,8,4,4,fixed,unknown,-1,,2/16/2013 12:15,7/12/2017 22:00,4.4027,5463721,125.05,26,fail,,,,,,
1308,[1308] St. Petersburg Parks CDP - Roberts Park Rec Center,"St Petersburg, FL",America/New_York,27.8175,-82.6517,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/15/2013 12:30,3/31/2017 8:30,4.2082,5588952,127.92,26,fail,,,,,,
1309,[1309] St. Petersburg Parks CDP - Walter Fuller Park Rec Center,"St Petersburg, FL",America/New_York,27.7955,-82.7476,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,1/26/2013 11:45,2/25/2016 23:00,3.0821,561352,12.85,5,fail,,,,,,
1310,[1310] St. Petersburg Parks CDP - Wildwood Park Rec Center,"Golden, CO",America/New_York,27.7589,-82.67,5,,BSk,45,5,8,4,4,fixed,unknown,-1,,2/15/2013 12:15,6/10/2018 6:45,5.3178,8582267,196.43,38,fail,,,,,,
1311,[1311] St. Petersburg Parks CDP - Science Center of Pinellas Cnty,"St Petersburg, FL",America/New_York,27.7938,-82.7457,5,,Cfa,45,5,8,4,4,fixed,unknown,-1,,2/15/2013 10:45,9/26/2013 3:20,0.6109,132308,3.03,4,fail,,,,,,
